Change,  860998,  13073
Add,  858726,  13077
Change,  893647,  13077
Change,  839151,  13078
Change,  877925,  13024
Change,  1033003,  15728
Change,  1033170,  13090
Change,  794663,  13084
Change,  987428,  14376
Change,  927366,  13077
Add,  535530,  11092
Add,  816417,  13081
Change,  871463,  13084
Change,  839202,  13088
Change,  1044544,  21476
Change,  942971,  13073
Change,  884954,  13024
Change,  858705,  13024
Change,  884855,  15728
Change,  1056006,  13077
Add,  953799,  13007
Change,  878005,  15249
Change,  919448,  13007
Change,  877937,  13079
Change,  943024,  13066
Change,  1168618,  13081
Change,  942959,  13090
Change,  1079461,  13084
Change,  860982,  13088
Change,  1116299,  13084
Change,  964940,  13081
Change,  999428,  13007
Change,  800663,  13078
Change,  1168617,  13081
Change,  884993,  13091
Change,  885036,  15249
Change,  973309,  13078
Change,  839324,  13007
Change,  1056030,  13081
Change,  1033161,  13077
Change,  1075439,  15862
Add,  867653,  15728
Change,  893588,  13081
Change,  800467,  13088
Change,  839320,  13078
Change,  1075413,  13024
Add,  574045,  11098
Change,  495638,  10988
Change,  839248,  13084
Add,  860973,  13077
Change,  483779,  10418
Change,  987395,  13077
Add,  533129,  11098
Change,  1116284,  14376
Change,  893682,  13048
Change,  942960,  13090
Change,  927395,  14376
Change,  1168579,  17158
Change,  839234,  13078
Change,  1009206,  13081
Add,  511969,  10988
Change,  861003,  13081
Change,  884996,  13073
Change,  942961,  13090
Change,  800287,  13090
Change,  847901,  15728
Add,  867668,  13077
Change,  893582,  13073
Add,  816360,  13084
Add,  867697,  13081
Change,  1075492,  13082
Change,  1033194,  13007
Change,  943073,  13007
Change,  893674,  13081
Change,  987394,  15862
Change,  1033110,  13049
Add,  839283,  13088
Change,  1009162,  15728
Change,  853481,  15862
Change,  800520,  13082
Change,  1033069,  13082
Change,  831392,  13077
Add,  823924,  13077
Add,  964886,  13084
Change,  999428,  13007
Change,  942946,  13079
Change,  1033013,  15862
Change,  893707,  15249
Change,  853361,  14376
Change,  919400,  13077
Change,  1116239,  17158
Change,  943063,  13048
Change,  1033131,  13024
Change,  839356,  13083
Change,  863498,  13049
Change,  1032993,  13024
Add,  1033025,  13088
Change,  1116323,  13049
Change,  1116289,  13078
Change,  999447,  13078
Change,  927364,  13077
Change,  878069,  13073
Change,  942966,  13091
Add,  617872,  10417
Change,  800382,  13090
Change,  1033059,  13007
Change,  1033164,  13088
Change,  885016,  13078
Change,  860956,  13024
Change,  858722,  15862
Change,  853322,  13024
Add,  594137,  10417
Change,  800270,  13073
Change,  893701,  13084
Change,  1157461,  13081
Change,  893551,  13066
Change,  808570,  13007
Change,  884985,  13090
Change,  1044601,  13078
Change,  808564,  13062
Add,  586139,  11098
Add,  542817,  11098
Change,  953762,  13077
Add,  586136,  11092
Change,  884953,  13024
Add,  847776,  13081
Change,  878053,  13088
Add,  853447,  13007
Change,  839258,  15109
Change,  910775,  17158
Change,  831517,  15109
Change,  919383,  13024
Add,  494966,  10988
Change,  847851,  13083
Change,  893553,  13079
Change,  1033068,  13082
Change,  1033153,  15862
Change,  794653,  13062
Change,  860952,  13024
Change,  885035,  15249
Add,  517501,  10988
Change,  878006,  15249
Change,  800361,  12989
Change,  794661,  13084
Change,  884899,  13081
Change,  1009209,  14376
Change,  953745,  15728
Change,  893621,  15249
Change,  794727,  13024
Change,  927413,  13084
Change,  987562,  13088
Add,  557333,  11092
Change,  953741,  17158
Change,  853394,  13024
Change,  1044578,  13088
Change,  839277,  13077
Change,  858754,  13081
Change,  884957,  13024
Add,  617880,  10418
Change,  1033182,  13081
Change,  878044,  15862
Add,  831449,  13089
Change,  1075458,  13073
Change,  884980,  13088
Add,  884960,  15728
Change,  987372,  13024
Add,  1009209,  14376
Change,  884903,  14376
Change,  1185753,  13079
Change,  893590,  13081
Change,  853454,  13084
Add,  858722,  15862
Add,  858750,  13073
Change,  1020271,  15862
Change,  853467,  15728
Add,  533130,  11098
Change,  816312,  13088
Change,  847782,  14376
Add,  861012,  13048
Change,  1157484,  13084
Change,  999438,  13084
Change,  878034,  15728
Change,  884870,  13077
Change,  1116289,  13078
Change,  893584,  13073
Add,  847756,  13077
Change,  839133,  13073
Change,  893604,  13078
Add,  574043,  11098
Change,  943008,  13024
Add,  943033,  13077
Add,  559700,  11098
Change,  884902,  14376
Change,  485634,  10418
Change,  884926,  13082
Change,  877965,  13073
Change,  1075419,  17158
Add,  1033182,  13081
Add,  823986,  13089
Change,  927345,  13024
Add,  500469,  11098
Add,  847759,  13077
Change,  800411,  13062
Change,  800327,  13007
Change,  893691,  13007
Change,  1044595,  14376
Change,  877993,  13007
Add,  884990,  13091
Add,  617871,  10417
Change,  893635,  13066
Change,  1033074,  13077
Add,  839279,  13077
Change,  1168677,  13088
Change,  987397,  13077
Change,  878076,  13081
Change,  860980,  13088
Add,  861039,  15249
Change,  1116234,  21476
Add,  853456,  13082
Add,  594324,  10417
Change,  878004,  15249
Change,  1033035,  13073
Change,  831435,  13007
